Colony,Fragment,Treatment,Date,Time,F,Fm.,Y.II.
JP ,JP 12,700,3/6/2017,4,0.1559,0.2529,0.384
JP ,JP 3,700,3/6/2017,4,0.1505,0.2363,0.363
JP ,JP 10,700,3/6/2017,4,0.1662,0.2569,0.353
KP ,KP 1,700,3/6/2017,4,0.1691,0.2608,0.352
KP ,KP 11,700,3/6/2017,4,0.1451,0.2235,0.351
KP ,KP 4,700,3/6/2017,4,0.1662,0.2603,0.362
DP ,DP 1,1000,3/6/2017,4,0.1608,0.2103,0.235
DP ,DP 8,1000,3/6/2017,4,0.1363,0.1828,0.255
DP ,DP 5,1000,3/6/2017,4,0.1417,0.2005,0.293
EP ,EP 1,1000,3/6/2017,4,0.1662,0.2593,0.359
EP ,EP 8,1000,3/6/2017,4,0.1422,0.2196,0.353
EP ,EP 9,1000,3/6/2017,4,0.1583,0.2578,0.386
HP ,HP 8,1000,3/6/2017,4,0.1681,0.277,0.393
HP ,HP 7,1000,3/6/2017,4,0.1529,0.251,0.391
HP ,HP 12,1000,3/6/2017,4,0.1495,0.2382,0.372
IP ,IP 8,1000,3/6/2017,4,0.1353,0.2069,0.346
IP ,IP 11,1000,3/6/2017,4,0.1363,0.2172,0.372
IP ,IP 1,1000,3/6/2017,4,0.1333,0.1985,0.328
JP ,JP 11,1000,3/6/2017,4,0.1716,0.2534,0.323
JP ,JP 8,1000,3/6/2017,4,0.1436,0.2137,0.328
JP ,JP 5,1000,3/6/2017,4,0.1662,0.252,0.34
KP ,KP 12,1000,3/6/2017,4,0.1353,0.2069,0.346
KP ,KP 9,1000,3/6/2017,4,0.1363,0.2172,0.372
KP ,KP 6,1000,3/6/2017,4,0.1333,0.1985,0.328
DP ,DP 12,100,3/27/2017,5,0.1853,0.3147,0.411
DP ,DP 4,100,3/27/2017,5,0.1358,0.2466,0.449
DP ,DP 2,100,3/27/2017,5,0.1475,0.2618,0.436
EP ,EP 12,100,3/27/2017,5,0.1603,0.2936,0.454
EP ,EP 2,100,3/27/2017,5,0.1495,0.2735,0.453
EP ,EP 4,100,3/27/2017,5,0.1529,0.2721,0.438
HP ,HP 3,100,3/27/2017,5,0.1838,0.2971,0.381
HP ,HP 1,100,3/27/2017,5,0.1441,0.2363,0.39
HP ,HP 10,100,3/27/2017,5,0.1652,0.2951,0.44
IP ,IP 13,100,3/27/2017,5,0.1775,0.4069,0.564
IP ,IP 6,100,3/27/2017,5,0.1397,0.3181,0.561
IP ,IP 2,100,3/27/2017,5,0.1647,0.3711,0.556
JP ,JP 7,100,3/27/2017,5,0.1824,0.3632,0.498
JP ,JP 1,100,3/27/2017,5,0.1417,0.2922,0.515
JP ,JP 6,100,3/27/2017,5,0.1691,0.3314,0.49
KP ,KP 5,100,3/27/2017,5,0.1583,0.3618,0.562
KP ,KP 2,100,3/27/2017,5,0.1412,0.2882,0.51
KP ,KP 10,100,3/27/2017,5,0.1632,0.3309,0.507
DP ,DP 6,400,3/27/2017,5,0.198,0.3162,0.374
DP ,DP 3,400,3/27/2017,5,0.1417,0.2574,0.45
DP ,DP 9,400,3/27/2017,5,0.1745,0.2779,0.372
EP ,EP 10,400,3/27/2017,5,0.1176,0.1995,0.41
EP ,EP 3,400,3/27/2017,5,0.152,0.2529,0.399
EP ,EP 11,400,3/27/2017,5,0.1387,0.2397,0.421
HP ,HP 4,400,3/27/2017,5,0.2,0.3897,0.487
HP ,HP 9,400,3/27/2017,5,0.1309,0.2407,0.456
HP ,HP 5,400,3/27/2017,5,0.1789,0.3515,0.491
IP ,IP 7,400,3/27/2017,5,0.1054,0.198,0.468
IP ,IP 10,400,3/27/2017,5,0.1431,0.2799,0.489
IP ,IP 5,400,3/27/2017,5,0.1725,0.3265,0.471
JP ,JP 2,400,3/27/2017,5,0.176,0.4167,0.578
JP ,JP 9,400,3/27/2017,5,0.1363,0.3015,0.548
JP ,JP 4,400,3/27/2017,5,0.1603,0.3515,0.544
KP ,KP 8,400,3/27/2017,5,0.1814,0.3314,0.453
KP ,KP 7,400,3/27/2017,5,0.1495,0.2721,0.45
KP ,KP 3,400,3/27/2017,5,0.1446,0.2799,0.483
DP ,DP 10,700,3/27/2017,5,0.1716,0.2676,0.359
DP ,DP 11,700,3/27/2017,5,0.1603,0.249,0.356
DP ,DP 7,700,3/27/2017,5,0.176,0.2569,0.315
EP ,EP 5,700,3/27/2017,5,0.173,0.2485,0.304
EP ,EP 7,700,3/27/2017,5,0.1431,0.2216,0.354
EP ,EP 6,700,3/27/2017,5,0.1343,0.1902,0.294
HP ,HP 6,700,3/27/2017,5,0.1593,0.2902,0.451
HP ,HP 11,700,3/27/2017,5,0.1475,0.2549,0.421
HP ,HP 2,700,3/27/2017,5,0.1559,0.2672,0.417
IP ,IP 3,700,3/27/2017,5,0.1338,0.2574,0.48
IP ,IP 4,700,3/27/2017,5,0.1029,0.199,0.483
IP ,IP 9,700,3/27/2017,5,0.1245,0.2275,0.453
JP ,JP 12,700,3/27/2017,5,0.1392,0.2422,0.425
JP ,JP 3,700,3/27/2017,5,0.1637,0.298,0.451
JP ,JP 10,700,3/27/2017,5,0.1441,0.2525,0.429
KP ,KP 1,700,3/27/2017,5,0.1824,0.3284,0.445
KP ,KP 11,700,3/27/2017,5,0.1662,0.2868,0.421
KP ,KP 4,700,3/27/2017,5,0.1353,0.2441,0.446
DP ,DP 1,1000,3/27/2017,5,0.1544,0.2328,0.337
DP ,DP 8,1000,3/27/2017,5,0.1691,0.2294,0.263
DP ,DP 5,1000,3/27/2017,5,0.177,0.2799,0.368
EP ,EP 1,1000,3/27/2017,5,0.1279,0.1912,0.331
