Colony,Fragment,Treatment,Date,Time,F,Fm',Y(II),Buoyant
,IP 6,100,3/6/2017,3,0.1392,0.2422,0.425,
,IP 2,100,3/6/2017,3,0.152,0.2627,0.422,
,JP 7,100,3/6/2017,3,0.1676,0.2799,0.401,
,JP 1,100,3/6/2017,3,0.1373,0.2314,0.407,
,JP 6,100,3/6/2017,3,0.1583,0.2676,0.408,
,KP 5,100,3/6/2017,3,0.1809,0.3152,0.426,
,KP 2,100,3/6/2017,3,0.1515,0.2799,0.459,
,KP 10,100,3/6/2017,3,0.1799,0.3103,0.42,
,DP 6,400,3/6/2017,3,0.1549,0.2314,0.331,
,DP 3,400,3/6/2017,3,0.1804,0.2681,0.327,
,DP 9,400,3/6/2017,3,0.1667,0.2382,0.3,
,EP 10,400,3/6/2017,3,0.1324,0.2,0.338,
,EP 3,400,3/6/2017,3,0.1515,0.2176,0.304,
,EP 11,400,3/6/2017,3,0.1426,0.2216,0.356,
,HP 4,400,3/6/2017,3,0.1711,0.3034,0.436,
,HP 9,400,3/6/2017,3,0.1539,0.2534,0.393,
,HP 5,400,3/6/2017,3,0.174,0.3093,0.437,
,IP 7,400,3/6/2017,3,0.1054,0.198,0.468,
,IP 10,400,3/6/2017,3,0.1431,0.2799,0.489,
,IP 5,400,3/6/2017,3,0.1725,0.3265,0.471,
,JP 2,400,3/6/2017,3,0.1784,0.2833,0.37,
,JP 9,400,3/6/2017,3,0.1373,0.225,0.39,
,JP 4,400,3/6/2017,3,0.1569,0.2696,0.418,
,KP 8,400,3/6/2017,3,0.1868,0.3083,0.394,
,KP 7,400,3/6/2017,3,0.152,0.2608,0.417,
,KP 3,400,3/6/2017,3,0.1775,0.3118,0.431,
,DP 10,700,3/6/2017,3,0.1574,0.2098,0.25,
,DP 11,700,3/6/2017,3,0.1725,0.2319,0.256,
,DP 7,700,3/6/2017,3,0.1412,0.1951,0.276,
,EP 5,700,3/6/2017,3,0.1765,0.2289,0.229,
,EP 7,700,3/6/2017,3,0.1559,0.2137,0.271,
,EP 6,700,3/6/2017,3,0.1353,0.1882,0.281,
,HP 6,700,3/6/2017,3,0.1725,0.2828,0.39,
,HP 11,700,3/6/2017,3,0.1466,0.2407,0.391,
,HP 2,700,3/6/2017,3,0.149,0.248,0.399,
,IP 3,700,3/6/2017,3,0.1706,0.2887,0.409,
,IP 4,700,3/6/2017,3,0.1471,0.2348,0.374,
,IP 9,700,3/6/2017,3,0.1505,0.2431,0.381,
,JP 12,700,3/6/2017,3,0.1559,0.2529,0.384,
,JP 3,700,3/6/2017,3,0.1505,0.2363,0.363,
,JP 10,700,3/6/2017,3,0.1662,0.2569,0.353,
,KP 1,700,3/6/2017,3,0.1691,0.2608,0.352,
,KP 11,700,3/6/2017,3,0.1451,0.2235,0.351,
,KP 4,700,3/6/2017,3,0.1662,0.2603,0.362,
,DP 1,1000,3/6/2017,3,0.1608,0.2103,0.235,
,DP 8,1000,3/6/2017,3,0.1363,0.1828,0.255,
,DP 5,1000,3/6/2017,3,0.1417,0.2005,0.293,
,EP 1,1000,3/6/2017,3,0.1662,0.2593,0.359,
,EP 8,1000,3/6/2017,3,0.1422,0.2196,0.353,
,EP 9,1000,3/6/2017,3,0.1583,0.2578,0.386,
,HP 8,1000,3/6/2017,3,0.1681,0.277,0.393,
,HP 7,1000,3/6/2017,3,0.1529,0.251,0.391,
,HP 12,1000,3/6/2017,3,0.1495,0.2382,0.372,
,IP 8,1000,3/6/2017,3,0.1353,0.2069,0.346,
,IP 11,1000,3/6/2017,3,0.1363,0.2172,0.372,
,IP 1,1000,3/6/2017,3,0.1333,0.1985,0.328,
,JP 11,1000,3/6/2017,3,0.1716,0.2534,0.323,
,JP 8,1000,3/6/2017,3,0.1436,0.2137,0.328,
,JP 5,1000,3/6/2017,3,0.1662,0.252,0.34,
,KP 12,1000,3/6/2017,3,0.1353,0.2069,0.346,
,KP 9,1000,3/6/2017,3,0.1363,0.2172,0.372,
,KP 6,1000,3/6/2017,3,0.1333,0.1985,0.328,
,DP 12,100,3/27/2017,4,0.1853,0.3147,0.411,
,DP 4,100,3/27/2017,4,0.1358,0.2466,0.449,
,DP 2,100,3/27/2017,4,0.1475,0.2618,0.436,
,EP 12,100,3/27/2017,4,0.1603,0.2936,0.454,
